local-authority-code,label
ABC,Northern Ireland; Emissions: Industry/Commerical/Domestic; 1st IMD quintile; Sparse and rural
VGL,Wales; Emissions: Transport/Domestic; 4th IMD quintile; Urban with rural areas
WAE,South East; Emissions: Transport/Domestic; 5th IMD quintile; Urban with rural areas
WAR,West Midlands; Emissions: Transport/Domestic; 4th IMD quintile; Urban with rural areas
WAT,East of England; Emissions: Urban Mainstream; 4th IMD quintile; Urban
WAW,West Midlands; Emissions: Transport/Domestic; 5th IMD quintile; Urban
WBK,South East; Emissions: Transport/Domestic; 5th IMD quintile; Urban with rural areas
WDE,South West; Emissions: Agriculture; 4th IMD quintile; Sparse and rural
WDU,Scotland; Emissions: Public sector; 2nd IMD quintile; Urban
WEA,South East; Emissions: Transport/Domestic; 5th IMD quintile; Urban with rural areas
WECA,South West; Emissions: Urban Mainstream; 3rd IMD quintile; Urban
WEW,East of England; Emissions: Urban Mainstream; 4th IMD quintile; Urban
WFT,London; Emissions: Urban Mainstream; 2nd IMD quintile; Urban
WGN,North West; Emissions: Urban Mainstream; 2nd IMD quintile; Urban
WIL,South West; Emissions: Transport/Domestic; 5th IMD quintile; Urban with rural areas
WIN,South East; Emissions: Transport/Domestic; 5th IMD quintile; Rural
WKF,Yorkshire and The Humber; Emissions: Urban Mainstream; 2nd IMD quintile; Urban with rural areas
WLA,North West; Emissions: Transport/Domestic; 4th IMD quintile; Urban with rural areas
WLI,East Midlands; Emissions: Transport/Domestic; 3rd IMD quintile; Rural
WLL,West Midlands; Emissions: Urban Mainstream; 1st IMD quintile; Urban
WLN,Scotland; Emissions: Urban Mainstream; 3rd IMD quintile; Urban with rural areas
WLV,West Midlands; Emissions: Urban Mainstream; 1st IMD quintile; Urban
WMCA,West Midlands; Emissions: Urban Mainstream; 1st IMD quintile; Urban
WND,London; Emissions: Urban Mainstream; 4th IMD quintile; Urban
WNM,South East; Emissions: Transport/Domestic; 5th IMD quintile; Urban
WNT,East Midlands; Emissions: Transport/Domestic; 4th IMD quintile; Urban with rural areas
WOC,West Midlands; Emissions: Urban Mainstream; 3rd IMD quintile; Urban
WOI,South East; Emissions: Urban Mainstream; 5th IMD quintile; Urban
WOK,South East; Emissions: Urban Mainstream; 5th IMD quintile; Urban
WOR,West Midlands; Emissions: Transport/Domestic; 4th IMD quintile; Urban with rural areas
WOT,South East; Emissions: Urban Mainstream; 4th IMD quintile; Urban
WOX,South East; Emissions: Transport/Domestic; 5th IMD quintile; Rural
WRL,North West; Emissions: Urban Mainstream; 1st IMD quintile; Urban
WRT,North West; Emissions: Urban Mainstream; 3rd IMD quintile; Urban
WRX,Wales; Emissions: Agriculture; 3rd IMD quintile; Urban with rural areas
WSK,East of England; Emissions: Transport/Domestic; 4th IMD quintile; Urban with rural areas
WSM,London; Emissions: Public sector; 3rd IMD quintile; Urban
WSX,South East; Emissions: Transport/Domestic; 4th IMD quintile; Urban with rural areas
WYC,West Midlands; Emissions: Transport/Domestic; 4th IMD quintile; Rural
WYCA,Yorkshire and The Humber; Emissions: Urban Mainstream; 2nd IMD quintile; Urban
WYE,West Midlands; Emissions: Urban Mainstream; 3rd IMD quintile; Urban with rural areas
WYR,North West; Emissions: Transport/Domestic; 3rd IMD quintile; Urban with rural areas
YOR,Yorkshire and The Humber; Emissions: Urban Mainstream; 5th IMD quintile; Urban
ZET,Scotland; Emissions: Agriculture; 5th IMD quintile; Sparse and rural
